M,N,K,Triton W8A16 (TFLOPS),PyTorch FP16 (TFLOPS)
256.000000,256.000000,256.000000,0.664076,0.268590
384.000000,384.000000,384.000000,0.471043,0.350877
512.000000,512.000000,512.000000,0.505886,0.416763
640.000000,640.000000,640.000000,0.494649,0.314926
768.000000,768.000000,768.000000,0.493688,0.378246
896.000000,896.000000,896.000000,0.482819,0.305695
1024.000000,1024.000000,1024.000000,0.477270,0.419966
1152.000000,1152.000000,1152.000000,0.475381,0.350225
1280.000000,1280.000000,1280.000000,0.462616,0.325947
1408.000000,1408.000000,1408.000000,0.365017,0.234164
1536.000000,1536.000000,1536.000000,0.464007,0.375659
1664.000000,1664.000000,1664.000000,0.466688,0.367460
1792.000000,1792.000000,1792.000000,0.463738,0.347049
1920.000000,1920.000000,1920.000000,0.417231,0.302480
2048.000000,2048.000000,2048.000000,0.463955,0.329269
2176.000000,2176.000000,2176.000000,0.460164,0.377283
2304.000000,2304.000000,2304.000000,0.461405,0.309296
2432.000000,2432.000000,2432.000000,0.458264,0.323779
2560.000000,2560.000000,2560.000000,0.438321,0.401854
2688.000000,2688.000000,2688.000000,0.402159,0.372564
2816.000000,2816.000000,2816.000000,0.459500,0.384564
2944.000000,2944.000000,2944.000000,0.370662,0.309521
3072.000000,3072.000000,3072.000000,0.369286,0.334308
3200.000000,3200.000000,3200.000000,0.366011,0.313507
3328.000000,3328.000000,3328.000000,0.381582,0.324212
3456.000000,3456.000000,3456.000000,0.369370,0.321226
3584.000000,3584.000000,3584.000000,0.366459,0.329230
3712.000000,3712.000000,3712.000000,0.365489,0.314249
3840.000000,3840.000000,3840.000000,0.365069,0.351196
3968.000000,3968.000000,3968.000000,0.458973,0.379116
4096.000000,4096.000000,4096.000000,0.453717,0.411564
