M,N,K,Triton (TFLOPS),PyTorch (TFLOPS)
256.000000,256.000000,256.000000,0.819200,0.348480
384.000000,384.000000,384.000000,0.473881,0.343453
512.000000,512.000000,512.000000,0.513850,0.407056
640.000000,640.000000,640.000000,0.492337,0.307635
768.000000,768.000000,768.000000,0.508414,0.369330
896.000000,896.000000,896.000000,0.479408,0.313747
1024.000000,1024.000000,1024.000000,0.472714,0.406802
1152.000000,1152.000000,1152.000000,0.425921,0.343523
1280.000000,1280.000000,1280.000000,0.452547,0.317484
1408.000000,1408.000000,1408.000000,0.444758,0.307237
1536.000000,1536.000000,1536.000000,0.411412,0.366220
1664.000000,1664.000000,1664.000000,0.439219,0.355856
1792.000000,1792.000000,1792.000000,0.437250,0.285959
1920.000000,1920.000000,1920.000000,0.431859,0.355379
2048.000000,2048.000000,2048.000000,0.414663,0.390156
2176.000000,2176.000000,2176.000000,0.361444,0.364525
2304.000000,2304.000000,2304.000000,0.349004,0.339681
2432.000000,2432.000000,2432.000000,0.343727,0.379649
2560.000000,2560.000000,2560.000000,0.360518,0.350438
2688.000000,2688.000000,2688.000000,0.428671,0.332053
2816.000000,2816.000000,2816.000000,0.424453,0.382655
2944.000000,2944.000000,2944.000000,0.362487,0.302099
3072.000000,3072.000000,3072.000000,0.422501,0.403970
3200.000000,3200.000000,3200.000000,0.421819,0.376122
3328.000000,3328.000000,3328.000000,0.393128,0.333502
3456.000000,3456.000000,3456.000000,0.420953,0.383656
3584.000000,3584.000000,3584.000000,0.356694,0.396148
3712.000000,3712.000000,3712.000000,0.401132,0.379597
3840.000000,3840.000000,3840.000000,0.419004,0.392667
3968.000000,3968.000000,3968.000000,0.419039,0.388483
4096.000000,4096.000000,4096.000000,0.420064,0.404898
